Time,Input,Output
0.0,0.10169529619169082,0.07450818132584604
0.01,0.4789317845329118,0.09199190682650177
0.02,0.26529086229888343,0.02122945752593618
0.03,0.3342274291444601,0.0705447307343255
0.04,0.20122904208315517,0.0525495029704124
0.05,0.3863986767534497,0.08343757315157786
0.06,0.08680187540046358,0.019640736846769192
0.07,0.15847906277863494,0.05280777307180169
0.08,0.48126974352337654,0.04596971985800072
0.09,0.4610622294947203,0.0673538509970982
0.1,0.3436055791504874,0.19249131955804885
0.11,0.49978998747741893,0.41131095221088654
0.12,0.4433490268003002,0.44319992484838555
0.13,0.3667747004852314,0.4871241030348712
0.14,0.21177246275926204,0.40204814028674696
0.15,0.34824994212798444,0.38769086983832457
0.16,0.025307682083555272,0.310298558224789
0.17,0.1910106728896505,0.24255205241725566
0.18,0.46102715095827834,0.34691911282378396
0.19,0.31306095125392874,0.5800043901664464
0.2,0.4775091190354135,0.5456619294568321
0.21,0.056692457029361765,0.7350906429296705
0.22,0.1888422862492461,0.5229109904021872
0.23,0.09760909145791585,0.47999872670825794
0.24,0.13718691711386566,0.3842819145831531
0.25,0.3343713722158673,0.3740913645938767
0.26,0.1288846155321946,0.3094991536813725
0.27,0.337914773728795,0.2997396945489236
0.28,0.3717524355544952,0.49221711876770835
0.29,0.10887349310071459,0.5384861700451552
0.3,0.01840589626265171,0.4655869918282133
0.31,0.15482973470764644,0.34837061409691295
0.32,0.10719795310295582,0.3217910758216701
0.33,0.3440780429523101,0.27681704469769364
0.34,0.4092187871697056,0.30659546512843794
0.35000000000000003,0.21406751445930727,0.45445423881118874
0.36,0.125720350715408,0.36437565566527774
0.37,0.48875086014579355,0.34351500251921596
0.38,0.16220829751413113,0.5427911154199395
0.39,0.3750759368585335,0.3968757909543743
0.4,0.07791211959721456,0.3052447032000384
0.41000000000000003,0.21966016500507834,0.2655405392923639
0.42,0.14555158621391295,0.2624880527518939
0.43,0.3401851994311003,0.3000488773983132
0.44,0.3851925490487945,0.45196752293783315
0.45,0.029972990350758844,0.4426031004663098
0.46,0.33775758968805275,0.31977153868892516
0.47000000000000003,0.031103427532323813,0.501602494831297
0.48,0.18306346808603569,0.35307553022462856
0.49,0.329899494408042,0.3724565046112388
0.5,0.250304877878705,0.316864559164627
0.51,0.1806162239839907,0.3343528332544562
0.52,0.23517600074662515,0.30084615911362445
0.53,0.051248319622213045,0.3658190448223779
0.54,0.3882306021862667,0.3081186809474588
0.55,0.2048884877756792,0.2655905679046239
0.56,0.3574156218930583,0.32914276373040885
0.5700000000000001,0.11344606154141912,0.2721601643238869
0.58,0.39710411849575383,0.25659617194468576
0.59,0.16864818696293937,0.41353951169383707
0.6,0.3707290594041265,0.35278395280244423
0.61,0.3823201319935824,0.3627016187412738
0.62,0.43992183021835346,0.4022065870655227
0.63,0.10908570052882521,0.3214202880467212
0.64,0.3064718850804231,0.312733091921387
0.65,0.4809814889247352,0.33943576717409474
0.66,0.10062827867547958,0.5167675478753185
0.67,0.2785498812188892,0.3638892334833521
0.68,0.3803300307405759,0.44135229923916874
0.6900000000000001,0.034355821414962295,0.4130676536846125
0.7000000000000001,0.05426044833624083,0.3220525850304241
0.71,0.04651716626147867,0.28885263724465926
0.72,0.17225625125010474,0.2711039316116737
0.73,0.07632024224425044,0.25818952620127306
0.74,0.17271317078376652,0.25807932890934543
0.75,0.4861012516166201,0.34684432795257036
0.76,0.47071408705587986,0.3377809621041742
0.77,0.15892717001104145,0.45376465465993276
0.78,0.39917634653027456,0.40373435122554757
0.79,0.23525194486343298,0.30938690318434664
0.8,0.45430685879216454,0.2622354959108666
0.81,0.09746975001379743,0.25219644632795557
0.8200000000000001,0.008882046147957456,0.24060634808053175
0.8300000000000001,0.4665065618374356,0.2107672201747467
0.84,0.4411261291266803,0.31649754098085914
0.85,0.110482654021401,0.5661894327384768
0.86,0.267833905423955,0.4427916119217611
0.87,0.4348509398561247,0.3732490440547903
